Date,NTPC.NS,ONGC.NS,POWERGRID.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATAMTRDVR.NS,TATASTEEL.NS,TCS.NS,WIPRO.NS
2013-01-01,79.39798736572266,104.8176040649414,40.74271774291992,213.2364959716797,341.8217468261719,307.906494140625,172.37425231933594,14.263421058654785,507.8188781738281,135.0739288330078
2013-01-02,80.419189453125,107.53939819335938,40.47431564331055,215.35440063476562,342.4689025878906,309.1216125488281,174.2610321044922,14.26179313659668,507.4776306152344,134.00186157226562
2013-01-03,80.44473266601562,109.57582092285156,40.85007095336914,217.20428466796875,339.21002197265625,309.2188415527344,174.6480712890625,14.396876335144043,514.4271850585938,135.3801727294922
2013-01-04,81.13401794433594,111.53389739990234,41.13636779785156,218.53126525878906,339.8110046386719,306.5942077636719,174.2610321044922,14.110435485839844,521.8988037109375,137.37112426757812
2013-01-07,80.47027587890625,112.787109375,40.93953323364258,216.8527374267578,343.9711608886719,304.5042419433594,171.40667724609375,14.35130500793457,520.1514892578125,137.81349182128906
2013-01-08,80.3936538696289,113.60951232910156,41.673152923583984,219.1156768798828,348.7320861816406,305.379150390625,173.3418426513672,14.105555534362793,522.3207397460938,135.49928283691406
2013-01-09,79.5001220703125,114.43192291259766,41.35107421875,221.70372009277344,351.85223388671875,318.2105712890625,177.64756774902344,13.745874404907227,512.8203735351562,135.12496948242188
2013-01-10,78.52999877929688,118.36772155761719,40.76060485839844,223.1361846923828,348.6396179199219,324.38330078125,179.5343780517578,13.687285423278809,505.5093078613281,134.63148498535156
2013-01-11,77.96832275390625,114.49066925048828,40.492210388183594,218.9135284423828,341.7062072753906,321.1754150390625,179.05056762695312,13.583125114440918,524.7711791992188,142.91830444335938
2013-01-14,78.65763092041016,119.54259490966797,40.09856033325195,219.67808532714844,339.8803405761719,318.5507507324219,180.55032348632812,13.79470157623291,536.0791015625,142.6460418701172
2013-01-15,79.47460174560547,120.44330596923828,39.74070358276367,218.80809020996094,337.52301025390625,322.2933044433594,181.5178985595703,13.827248573303223,537.2640991210938,143.25863647460938
2013-01-16,79.75543975830078,118.9747543334961,40.09856033325195,213.75938415527344,332.5076904296875,311.1143798828125,174.8899688720703,13.506631851196289,541.4016723632812,142.91830444335938
2013-01-17,80.21497344970703,123.1455078125,40.31328201293945,217.05050659179688,331.42144775390625,319.7658996582031,179.00216674804688,13.628695487976074,547.1261596679688,146.57676696777344
2013-01-18,83.99336242675781,132.25074768066406,41.13636779785156,219.00143432617188,329.1334533691406,319.3770751953125,181.0341033935547,13.508257865905762,542.7074584960938,135.22702026367188
2013-01-21,82.51265716552734,131.80035400390625,40.76060485839844,219.6517333984375,323.4941711425781,314.22503662109375,179.92138671875,13.478965759277344,534.2715454101562,135.2951202392578
2013-01-22,83.91680145263672,132.1332244873047,40.617469787597656,216.57594299316406,328.5093688964844,309.65625,176.4864501953125,13.303194999694824,529.2501831054688,135.70347595214844
2013-01-23,83.02324676513672,130.4884033203125,40.134342193603516,217.97763061523438,328.0703430175781,304.30975341796875,176.67999267578125,13.265762329101562,528.223388671875,137.41366577148438
2013-01-24,81.87440490722656,131.72207641601562,39.70491027832031,216.1101837158203,328.30133056640625,285.25701904296875,165.31092834472656,13.166483879089355,534.906982421875,138.50820922851562
2013-01-25,81.36380767822266,133.5822296142578,39.722808837890625,220.904052734375,336.8296203613281,292.5962219238281,168.64907836914062,13.239720344543457,539.718505859375,139.4316864013672
2013-01-28,80.49578857421875,131.1737518310547,40.04487991333008,218.95748901367188,333.0624084472656,299.93548583984375,171.79371643066406,13.203917503356934,541.5503540039062,141.44970703125
2013-01-29,80.31708526611328,130.52760314941406,40.116458892822266,216.40016174316406,328.809814453125,295.7554626464844,166.2785186767578,12.987459182739258,541.5100708007812,139.7737274169922
2013-01-30,79.55118560791016,132.5640411376953,39.90174102783203,214.08453369140625,327.6543273925781,290.8465270996094,166.2785186767578,13.2234468460083,541.9932861328125,141.89439392089844
2013-01-31,80.21497344970703,133.03396606445312,39.43650436401367,214.25152587890625,331.8837585449219,289.67999267578125,161.05357360839844,13.17950439453125,541.1879272460938,140.76565551757812
2013-02-01,80.13838195800781,130.09677124023438,39.52597427368164,211.9973907470703,332.7619323730469,273.7864685058594,159.36033630371094,13.047675132751465,542.7784423828125,139.4145965576172
2013-02-04,79.42353820800781,127.57086944580078,39.79438018798828,206.74656677246094,332.6695251464844,283.8475341796875,162.69847106933594,12.85888671875,546.0999755859375,139.58560180664062
2013-02-05,79.37248229980469,127.55125427246094,39.22179412841797,208.40748596191406,346.444091796875,279.1815185546875,157.6670379638672,12.849122047424316,547.5894775390625,139.20936584472656
2013-02-06,77.5087890625,126.00432586669922,39.13233947753906,206.40382385253906,345.9817810058594,278.20941162109375,158.2476043701172,12.937005043029785,551.8172607421875,138.74765014648438
2013-02-07,75.59405517578125,125.26026916503906,39.937522888183594,204.46168518066406,346.444091796875,280.5424499511719,159.3119354248047,12.707529067993164,558.500732421875,138.7647247314453
2013-02-08,75.59405517578125,122.81262969970703,39.81227111816406,200.90696716308594,344.87249755859375,277.4317626953125,157.61866760253906,12.611505508422852,572.7740478515625,141.056396484375
2013-02-11,75.38980102539062,120.77619934082031,40.277496337890625,201.62753295898438,346.37469482421875,282.77825927734375,159.8925018310547,12.525249481201172,569.593017578125,140.06448364257812
2013-02-12,75.26216888427734,125.33859252929688,40.384857177734375,201.80770874023438,356.70562744140625,290.2146301269531,162.55332946777344,12.528505325317383,567.7207641601562,140.8682403564453
